x	ulp_err
-683247.67522391363	7496
902908.84150844964	-462313
102207.40031544118	-60379
-992689.15583195677	611977
-305607.46267565573	250352
-906943.10634775867	1297349
892942.14164158679	-503028
160810.07484189479	-7057
607306.75494804	-221520
-262618.34488003078	1478842
65368.079302430939	-34984
991950.05164056865	-5442
-822741.82638840377	711803
-241947.64277179493	158228
-682100.9680679742	7484
-883622.32379864377	378010
-288313.91966934939	137124
408670.66374695551	-309828
-98713.694412269848	4332
-882157.60905496834	9679
-386759.52879204444	33950
47541.985523972042	-35823
996306.81341902912	-545452
-337192.09320674947	14799
779210.92761689308	-34198
-691077.08854387561	471217
-196672.93955531294	285929
-624544.35649300681	290547
606121.00043031771	-326677
-543989.83161709271	418101
922563.27372621174	-5188643
-441328.61279218947	165903
-408325.63863725303	309579
-551857.16436572338	48442
383323.55886976479	-238164
88639.508931228847	-41700
-223115.49068606386	187853
-497253.35800405999	377041
-655466.44611025485	28769
-623195.10983128822	289464
-434255.89116023487	629673
-31676.512505360301	45741
-13399.236209793442	10613
-650343.59759058722	354518
-522712.8682631689	341006
-483258.20527977758	409337
378054.41351393855	-16592
34099.76045122787	-16049
42755.233814121493	-3754
462689.43996451737	-40614
-951772.18012915505	5223
-577357.17816971603	791
-312489.55851169792	3428
598303.65191774629	-1698405
-909055.98831590801	4987
155788.47595336297	-876453
-339163.6572200284	295447
-974240.7111230134	42759
467891.09444963548	-229672
-759841.12920929759	1101690
181082.26021607444	-74624
-654971.36928181315	558486
832313.84837028035	-343039
-471134.55325594678	270207
-138629.01460772613	780337
301147.87300564296	-241975
-457116.16532700573	40125
734711.13444789976	-365396
-350819.84226917161	15397
-737561.72939197894	378797
308123.32845210412	-154417
396812.28807613242	-164262
542338.71000938665	-332805
616396.77873357642	-314351
797987.26637687325	-514931
-44591.970285834061	65311
-386543.68589611875	244393
538206.19846031547	-240307
-320434.94932955521	28127
320839.24279591814	-167149
-941373.46808706084	10329
-549465.15867416258	284612
-654222.19122515712	57426
831904.64181590732	-18255
518260.76120806055	-11374
735082.1340579465	-559333
512569.65805398981	-2882669
-204656.23817643698	160179
-445534.00370676978	363725
-934861.82840892428	609800
-731703.81178122654	32113
331522.78740040609	-1869295
-679017.13733108295	569707
327522.66386549355	-163793
-63199.368934909849	355952
-458516.05059791956	237256
270349.02153165021	-172265
596937.52863264037	-481110
177264.7665016549	-146860
-388915.20318783558	17069
523185.08100983087	-2947005
521909.61736988026	-5868820
478061.35207286739	-385281
-909336.89287280326	1355148
-271006.08211206214	204499
-615019.38896379888	427317
176347.48095483688	-154314
879042.60936068848	-1261971
-413767.61570267129	259822
-502121.74303688435	292101
854927.17895627138	-524701
-481539.82259087445	385414
-968619.00383820862	21771345
-258596.96827426282	732218
544239.87555899099	-799423
904171.28944183921	-682128
698654.75940801238	-309023
-896820.30343603529	563652
743334.28507384053	-620272
209243.46077829981	-79553
-650355.91759056598	285098
469618.31093113474	-208436
310727.47025110805	-184315
23321.906056702035	-2047
-444773.80834463978	345089
419992.86897953291	-339221
-439437.63154630875	342062
535429.57109955291	-11749
-946149.24756957567	721408
800589.12634760642	-35138
629320.43043186911	-475344
-334484.41544176301	175702
130841.32166984274	-98964
-495308.69867923879	394778
-37461.91611795935	51
346503.81156810652	-30416
308158.83298223931	-6925407
-161826.27127557702	125133
-835216.95907158055	419482
-484153.84221821587	694117
382695.79686962027	-332684
130162.60226408871	-186204
874292.07314997551	-448192
-464798.47192385106	670049
-57575.225673713423	37268
526233.45356981526	-294347
-959448.93258076673	718788
899720.39459803724	-703764
-39555.681681068709	112501
-954432.00230459566	823597
-881653.54291346308	2513856
235164.56756112401	-130183
-791806.07103121548	401137
-954608.40762919886	459417
934833.93013534963	-755826
92986.200618338626	-4080
-502923.2230860978	22073
260787.88953431364	-132287
-111259.02468525362	49608
-700488.32342439995	332499
-868219.92982842727	4885623
-597089.04560081149	485326
-982505.83358917793	601152
343723.52667988214	-30171
-292956.95601529838	225335
-99079.113069274754	84681
-218636.66915517044	124955
-748105.21072263026	334590
-790576.25015392597	510939
362534.22877949546	-225108
-141475.86819924397	66434
461787.40605507087	-1266
-321330.76771973853	212193
726969.75970985834	-540779
-481435.28866279806	42259
398575.95630471822	-278015
852226.56456822855	-732650
-177324.08183174176	1993720
-895881.74123019003	5044257
-152340.78429119603	6686
555690.96829210408	-820755
636550.80196310498	-55874
884665.5562000561	-491527
326611.55895054783	-184632
-814268.02618003183	35739
-761653.0149037689	445798
144666.21899052255	-82128
-600142.98473329493	26339
-577290.31512195861	331961
390745.65700314665	-215156
-846691.79153194581	456499
591619.17679269554	-375067
-409191.47598822822	222937
875255.50215268822	-19207
-419305.46019090584	621275
506088.08553609322	-230681
-528505.180430301	23196
-526560.19369319058	307632
31084.480602318054	-85
-549750.31911543733	1567014
-510802.84514995443	44837
-738927.44088831206	563102
-611268.94379922678	881897
457198.82324870722	-351180
-212243.65343901119	76035
752715.13822538045	-510094
637266.09355971881	-492474
-53400.673797319389	152112
758629.41091035237	-505563
-76998.598715605214	6760
544769.54621686111	-11955
-524290.54304200027	445669
571728.37525100878	-315318
-627575.25844368478	55088
-250799.36961518857	188098
819629.30841296795	-652961
511271.08749034902	-242139
-127738.84185589745	2804
-258368.55995959608	101481
-288557.11336741794	25330
177404.45978201836	-15573
-529547.65836956422	191793
808492.33987603884	-633875
42745.171844550401	-24129
-761093.50194886955	66810
906445.7005745155	-521138
-605163.94098188949	431953
799940.41005455179	-1163155
331304.42172864696	-7270
-430622.71080887638	9450
-4960.4268795779835	7122
318902.83641699259	-473302
-530291.53487125225	1511108
-593687.19476678409	1628
-479376.02590874041	397785
-259272.307298133	378018
581913.71579243813	-463034
-487301.01278498484	195733
-371768.29690325807	8158
-42472.194476454453	25815
521190.73032586538	-240012
-349185.75644678116	149052
246128.66269925359	-124538
882591.22454441758	-9684
-376880.19664400799	204681
-342061.86345864122	224965
-159024.88772904454	83018
-875529.96198149235	396846
-831995.03434319852	565385
-477976.51743114513	402839
648538.53418619884	-398099
-613342.62637866091	1730789
-526068.79132829781	410893
-379141.69621553138	16640
-545199.48103540298	47856
969301.11105367134	-800257
-557640.38552524731	24475
892018.0386344383	-408357
70870.007283337924	-6221
-734078.63746677071	8054
-773422.22308560298	1126040
312149.18711574422	-149170
-99299.528898382894	280230
-621763.53434626688	13643
967402.06652333029	-458038
757334.37650647969	-4270095
-836988.8783693352	390037
-153607.15117447899	98976
43348.109101527974	-36306
739105.2420708111	-4055
45637.261918003882	-25462
474139.87642526487	-41620
-671478.2931999499	329516
176485.15356676263	-500421
140767.1773072363	-12355
93381.522860072946	-35438
-633733.98761938757	350486
-565102.1584556594	49603
842149.93324742385	-722650
-664328.07975935191	349176
713394.2535580165	-31311
425492.60048028326	-292
-763001.95591902104	1118658
-486652.29264630651	313933
739136.60191579384	-8110
